zip_code,total_returns,adj_gross_inc,business_returns,business_income,farming_return,unemp_returns,unemp_comp,ssn_returns,ssn_benefits,student_loans,student_loan_deduction,real_estate_returns,real_estate_taxes,child_credits,child_credit_amt,earned_inc_ret,earned_inc_tax
52245,9950,897297,1490,24304,40,1490,15805,2030,42374,1110,871,1150,7581,2020,5206,760,1334
52246,10040,829089,1460,19360,60,1510,17189,1440,30902,940,793,1000,7767,1920,4458,1270,2982
52247,2460,165956,570,9400,310,320,2584,450,7429,190,124,190,774,640,1874,180,354
52248,780,52074,150,1488,170,110,979,180,2630,60,39,30,72,190,533,100,247
52249,420,28328,60,636,50,70,621,100,1631,30,13,0,0,100,262,40,93
52251,220,12558,30,191,30,50,472,40,485,0,0,0,0,60,139,30,71
52253,1560,116231,260,1964,80,280,2673,270,4326,180,124,90,403,490,1406,130,258
52254,400,21992,50,327,50,90,992,90,1203,20,17,0,0,100,269,50,126
52255,570,34875,70,613,60,80,773,130,1730,40,25,0,0,150,343,70,158
52257,130,8547,20,200,30,20,367,30,470,0,0,0,0,30,70,0,0
52301,1780,106944,230,2366,160,390,3469,360,4745,160,99,50,153,410,1055,190,402
52302,20380,1601046,2440,37470,150,3390,35830,3740,62697,2070,1507,1450,8155,5860,15625,2090,4279
52305,310,21279,60,481,30,60,590,60,881,30,14,0,0,100,242,30,49
52306,810,50583,120,1182,90,140,1154,160,2173,60,43,0,0,190,474,90,187
52309,180,9338,0,0,40,40,359,40,521,0,0,0,0,40,103,0,0
52310,2930,194297,430,5233,250,620,6708,630,8998,270,184,100,345,740,1918,330,646
52313,180,10114,20,30,20,40,401,30,466,0,0,0,0,40,117,0,0
52314,2360,206784,430,5479,130,370,4021,490,9263,230,156,190,1171,740,2110,180,372
52315,540,33910,80,422,40,80,946,130,1777,50,31,20,56,150,377,50,88
52316,730,41373,100,850,90,130,1171,180,2148,40,34,0,0,170,424,110,274
52317,10560,863657,1420,22192,50,1980,18100,1040,17903,1710,1251,920,5388,3210,9081,970,2025
52318,470,29591,70,300,50,80,605,90,1083,40,30,0,0,100,259,40,81
52320,530,28389,50,173,70,120,1251,80,963,40,20,0,0,150,339,80,169
52321,190,9627,20,60,40,40,446,30,312,0,0,0,0,40,83,30,78
52322,1160,86367,170,1440,140,220,1833,250,3744,90,69,60,299,270,697,110,222
52323,320,15845,50,212,50,50,529,90,798,0,0,0,0,70,166,50,84
52324,1210,104140,160,1554,50,250,2611,170,3053,140,99,90,442,400,1179,100,205
52325,390,28426,70,793,70,70,460,60,824,40,22,0,0,110,320,30,54
52326,280,14512,30,67,0,50,392,50,547,0,0,0,0,60,142,30,78
52327,1540,134654,220,2893,210,240,1880,300,5199,150,108,120,569,420,1179,100,205
52328,1470,185081,230,3401,0,180,1834,330,6766,90,57,170,1173,410,1204,50,80
52329,350,21709,60,311,50,60,623,70,931,30,12,0,0,90,244,30,42
52330,360,26792,60,583,80,60,397,70,1214,30,14,0,0,110,306,20,50
52332,950,62526,140,1400,60,160,1729,180,3128,70,31,50,176,240,670,110,234
52333,3490,439972,550,11576,150,510,4707,750,14912,360,276,400,2902,1080,3295,150,248
52334,180,13360,20,109,20,40,314,30,473,0,0,0,0,50,136,0,0
52335,270,13525,40,641,40,50,511,60,825,0,0,0,0,60,150,40,90
52336,1170,85830,160,2242,100,190,1772,230,3542,100,70,70,371,310,839,100,193
52337,390,20212,50,628,20,70,615,60,833,30,14,0,0,100,232,60,148
52338,1680,209619,270,4313,70,290,2493,350,6669,140,100,220,1572,450,1277,70,100
52339,2310,106668,230,1486,90,400,3387,310,4062,90,59,30,72,570,1327,360,831
52340,2840,206512,400,4167,40,540,4862,310,5240,440,341,240,1293,890,2369,240,461
52341,530,54430,70,433,30,70,905,150,2782,30,9,60,343,110,295,30,53
52342,1550,81615,210,2335,130,280,2520,300,3838,80,60,30,63,370,913,240,529
52345,700,49320,110,988,0,140,1102,90,1418,80,76,20,85,240,712,70,166
52346,540,37245,70,844,50,80,807,90,1495,60,35,20,82,150,385,60,115
52347,690,42335,80,828,70,170,1492,150,1983,60,32,0,0,170,412,70,135
52349,3390,218961,480,6814,170,530,5035,730,11554,300,204,170,665,860,2180,400,850
52351,650,60239,70,625,0,110,919,100,1777,60,36,40,168,220,642,30,62
52352,910,66118,150,1769,140,150,1457,190,3126,70,45,50,176,240,674,60,113
52353,4410,273156,620,6914,220,670,6319,880,13442,400,270,200,811,1130,2661,610,1433
52354,180,11620,0,0,40,30,237,50,735,0,0,0,0,30,74,0,0
52355,120,6048,0,0,30,20,179,30,280,0,0,0,0,0,0,0,0
52356,1230,80337,250,5062,160,190,1909,200,3045,80,46,40,187,370,1060,140,279
52358,1980,142674,280,3476,120,320,2682,370,6225,230,164,100,444,510,1323,200,406
52359,120,6058,0,0,0,0,0,0,0,0,0,0,0,20,41,0,0
52361,2330,180584,330,3606,200,470,4091,450,7250,290,218,130,591,660,1866,180,402
52362,430,24667,60,402,60,80,693,90,1201,30,14,0,0,100,239,50,121
52401,990,72803,100,784,0,190,2259,70,1270,110,84,30,256,130,174,210,400
52402,20010,1313629,2240,26737,60,3600,39682,3250,53016,2110,1539,1080,5346,4660,10772,2570,5331
52403,11360,1041750,1540,27258,60,2090,23425,2120,39831,1120,799,970,7296,2390,5314,1630,3452
52404,20390,1081601,2230,19269,60,4580,49793,2620,36476,1850,1307,780,3516,4900,10388,3750,8457
52405,12910,744695,1430,12247,40,2690,28578,2240,34535,1360,948,570,2425,2990,6486,1770,4033
52411,3800,581005,570,12559,40,440,4679,790,17731,240,174,630,4910,1130,3336,110,162
52501,13440,716122,1390,9422,360,2410,24433,2080,28525,770,479,310,1345,3510,7787,2670,5909
52530,450,26817,60,122,20,100,881,100,1459,50,21,0,0,110,269,50,110
52531,2660,159394,450,2832,340,540,4649,450,6423,270,140,70,252,690,1735,370,807
52533,500,30555,80,349,80,110,1101,120,1579,20,7,0,0,120,292,60,151
52534,150,6279,0,0,0,40,442,0,0,0,0,0,0,30,60,40,80
52535,370,19528,60,45,70,80,750,70,960,0,0,0,0,90,219,50,113
52536,420,24688,50,393,100,90,947,100,1347,30,17,0,0,90,250,40,79
52537,2900,183196,640,15065,710,380,3443,500,6928,170,108,100,391,830,2394,360,797
52540,630,32963,110,944,120,120,1001,90,1137,40,17,0,0,140,342,120,303
52542,160,8600,30,185,30,30,218,40,520,0,0,0,0,30,56,30,63
52543,110,6877,0,0,0,20,228,0,0,0,0,0,0,40,119,0,0
52544,3380,170666,500,5542,260,640,5809,580,7332,230,166,60,229,760,1584,650,1429
52549,290,14298,50,866,60,50,373,40,432,0,0,0,0,60,139,40,88
52550,220,10677,30,151,30,40,351,30,390,0,0,0,0,50,104,30,74
52551,310,16161,60,169,70,70,702,60,845,0,0,0,0,60,139,40,86
52552,320,16671,70,1598,110,50,465,60,618,0,0,0,0,100,274,30,51
52553,770,44262,110,962,100,180,1467,130,1846,60,50,0,0,220,545,100,197
52554,580,26775,80,321,50,150,1376,90,967,30,8,0,0,130,270,100,215
52555,130,6180,0,0,30,0,0,20,201,0,0,0,0,20,33,20,30
52556,5550,348323,1160,12031,240,1180,15763,1320,18803,420,290,290,1671,1060,2255,870,1622
52560,170,8092,0,0,30,40,300,30,311,0,0,0,0,40,94,20,50
52561,420,23292,40,185,40,80,831,80,899,0,0,0,0,130,291,70,161
52563,620,35949,100,852,110,90,800,120,1665,40,28,0,0,160,372,90,207
52565,880,51047,170,1762,130,140,1058,220,3230,50,24,30,71,170,451,130,249
52567,290,16292,40,195,30,60,692,70,897,20,12,0,0,60,138,50,105
52569,290,17589,20,9,70,40,455,100,1434,0,0,0,0,30,62,30,55
52570,320,16377,60,1117,100,40,225,40,384,0,0,0,0,80,188,50,141
52571,710,46308,140,850,100,110,1036,160,2106,50,40,0,0,170,401,100,213
52572,450,21334,80,769,90,60,485,80,914,30,16,0,0,110,233,90,230
52574,350,16176,50,462,40,70,550,70,863,0,0,0,0,80,175,60,113
52576,240,11867,40,92,40,40,513,40,612,0,0,0,0,50,110,40,73
52577,6490,406755,850,9034,270,1430,11466,1120,16795,620,439,260,1048,1630,3982,910,2054
52580,210,12143,30,118,30,30,343,40,642,0,0,0,0,50,149,0,0
52581,120,5669,0,0,30,0,0,30,347,0,0,0,0,20,47,0,0
52583,150,7445,0,0,50,30,256,30,435,0,0,0,0,30,46,0,0
52584,160,7129,40,563,40,0,0,30,350,0,0,0,0,40,85,30,86
52585,410,24324,80,629,60,60,705,70,1225,40,32,0,0,110,257,60,139
52586,240,14760,30,94,50,50,370,40,649,0,0,0,0,50,124,30,51
52590,480,22145,160,6373,140,50,478,60,800,20,8,0,0,140,385,70,167
52591,1310,79290,220,1992,180,200,1827,290,4059,110,54,40,114,310,743,180,383
52594,170,9429,0,0,50,40,399,40,494,0,0,0,0,40,86,20,46
52601,13750,761668,1500,17455,160,3220,32956,2700,38244,800,552,470,2377,2970,5921,2620,6091
52619,280,14131,30,56,30,50,557,50,676,0,0,0,0,60,166,40,70
52620,370,18311,90,1046,80,70,576,60,635,0,0,0,0,100,232,70,156
52621,330,23616,40,169,70,40,386,60,903,0,0,0,0,80,162,30,58
52623,960,61040,140,954,60,230,1897,170,2622,70,54,50,193,260,673,110,246
52625,1190,79380,160,1040,180,160,1589,270,3717,90,65,30,86,290,784,120,300
52626,530,25830,90,379,90,100,874,110,1290,30,7,0,0,100,257,70,178
52627,5580,347055,520,5705,100,1070,10654,1120,16270,310,204,180,830,1260,2696,970,2247
52630,170,7977,0,0,30,40,328,20,344,0,0,0,0,40,97,30,74
52632,5270,256619,510,5287,70,1180,12215,920,12695,220,145,140,621,1310,2798,1120,2525
52635,300,14607,30,278,60,60,457,50,606,0,0,0,0,70,131,40,77
52637,1190,83881,220,1897,100,240,1917,240,3801,80,51,50,198,330,999,130,312
52638,280,16596,20,61,0,90,763,50,650,0,0,0,0,70,178,30,56
52639,840,46985,110,393,50,140,1368,180,2426,30,20,0,0,180,409,100,232
52640,590,37412,110,731,60,120,833,110,1630,30,16,0,0,160,369,70,153
52641,5290,300489,670,6833,290,910,8967,1070,16460,400,296,200,966,1230,2718,810,1852
52644,190,11051,30,33,30,40,320,40,583,0,0,0,0,50,117,30,61
52645,1440,85198,180,993,100,320,3011,310,4358,100,58,40,151,380,972,170,365
52646,210,11346,0,0,30,30,328,40,437,0,0,0,0,50,147,40,79
52649,430,25642,70,432,70,70,619,90,1334,0,0,0,0,100,260,50,115
52650,400,28801,50,189,60,80,623,100,1537,0,0,0,0,110,315,30,64
52651,280,14185,40,133,40,60,473,40,358,0,0,0,0,90,163,50,123
52653,1510,90867,190,1265,100,280,2243,330,5209,110,77,50,145,380,916,210,476
52654,710,42746,130,1263,100,90,811,140,1920,60,32,30,93,180,417,120,293
52655,2090,130351,260,1958,30,450,4350,470,6625,100,79,90,421,460,1006,350,784
52656,1080,82501,180,1273,160,170,1537,280,4186,60,61,40,155,240,631,70,187
52658,550,37236,80,392,40,100,1008,120,2081,30,13,20,60,100,288,40,80
52659,650,36464,90,344,70,120,959,120,1772,50,28,0,0,170,405,110,260
52660,110,8103,0,0,0,20,120,30,380,0,0,0,0,30,68,0,0
52720,430,25828,60,231,40,80,574,90,1316,20,8,0,0,110,236,60,149
52721,340,21716,30,172,50,40,376,80,1169,0,0,0,0,70,192,30,83
52722,19780,2167873,2510,52730,110,3110,34046,3830,68398,1720,1358,1980,15066,5630,15385,1770,3788
52726,2290,185715,290,2613,70,420,3926,560,9856,210,147,170,777,590,1573,150,315
52727,200,11794,0,0,40,30,325,30,400,0,0,0,0,40,101,0,0
52729,410,23944,60,648,50,70,591,90,1267,30,12,0,0,80,201,40,89
52730,2460,145378,260,1527,30,460,4851,550,7732,160,109,70,252,620,1485,290,610
52731,410,25432,60,342,90,60,580,80,1197,30,15,0,0,100,267,40,107
52732,12080,646863,1170,9783,160,2360,25480,2140,29436,820,548,370,1650,2770,6083,2400,5351
52737,200,9006,0,0,0,30,286,30,311,0,0,0,0,50,123,30,62
52738,1590,92301,180,1463,160,250,2237,280,4444,90,40,30,65,410,1041,220,491
52739,580,17806,30,63,20,70,486,50,591,0,0,0,0,80,177,90,132
52742,3650,282993,540,6826,240,610,6102,770,12207,380,278,210,1010,960,2675,320,729
52745,290,18644,30,71,30,50,519,70,926,20,9,0,0,60,143,30,62
52746,440,31788,70,189,40,80,761,100,1678,40,23,30,96,120,297,40,65
52747,1120,77254,120,1198,50,210,1919,210,3366,110,73,50,183,300,793,90,153
52748,4710,409579,630,8830,90,810,8249,910,15090,490,347,310,1551,1520,4219,470,1087
52749,470,29110,50,116,0,100,762,60,820,30,18,0,0,160,401,40,99
52750,270,17905,30,138,60,60,549,60,836,0,0,0,0,70,168,30,66
52751,530,31197,70,608,70,100,812,110,1640,40,37,0,0,140,325,60,109
52753,2880,300468,460,6334,40,460,5363,600,10706,250,172,320,2158,860,2648,190,432
52754,640,42090,80,955,80,120,978,140,2068,40,32,0,0,150,397,50,124
52755,1000,60784,170,1948,80,180,1480,190,3062,90,55,30,107,260,638,90,203
52756,1060,98255,170,1857,70,170,1730,230,3959,110,80,70,348,310,853,40,97
52760,270,21200,40,371,20,40,301,70,1065,0,0,0,0,60,184,0,0
52761,14610,895854,1420,14526,210,3110,26314,2510,38513,920,651,580,2753,3650,8202,2340,5172
52765,200,14009,30,271,40,30,269,50,700,0,0,0,0,30,67,20,37
52766,380,23057,40,315,40,90,648,70,1271,20,7,0,0,90,182,50,99
52768,700,50848,80,831,30,140,1382,170,2693,50,38,50,208,150,439,50,67
52769,260,18478,0,0,50,50,330,60,924,0,0,0,0,60,166,30,70
52772,2400,164677,310,3278,190,370,3133,500,7427,210,151,100,390,640,1592,250,525
52773,1140,80802,160,1452,80,210,1910,250,3714,100,82,40,133,290,727,120,266
52776,2350,139526,270,3268,90,480,3966,340,5014,180,119,80,359,720,1901,340,804
52777,610,33766,90,504,70,100,899,120,1641,40,17,0,0,130,322,80,183
52778,1970,131758,240,1904,100,370,3050,370,5472,180,132,70,315,540,1394,220,449
52801,810,51248,70,489,0,150,1603,0,0,50,33,0,0,60,60,130,247
52802,4560,162950,380,3874,0,1170,13228,390,4123,190,113,40,141,1040,1698,1330,3177
52803,10210,551363,1230,13066,0,2210,25091,1290,18266,980,822,400,2101,2270,4687,2070,4871
52804,12600,639180,1330,11029,50,2820,29907,2030,26048,990,801,420,1824,2950,5757,2440,5634
52806,13600,746836,1560,14350,40,3000,32053,2310,32163,1200,909,600,2564,3300,7097,2410,6007
52807,7550,675575,930,20681,40,1210,13191,1540,30195,660,525,750,5566,1670,4278,800,1752
99999,16850,850465,1290,6948,840,2880,28276,2750,38247,560,224,170,925,2540,5499,1920,3780
